"Violation","Title","Descriptive Statute Code","Descriptive Statute Year","Penalty Statute Code","Penalty Statute Year","Offense Level","Minumum Sentence","Maximum Sentence","Minimum Fine","Maximum Fine","Restitution","Public Official","Unspecified Classification","Unspecified Fines"
"SHOOTING WITH INTENT TO KILL","Title 21","21-652.A",2007,"21-652.A",2007,"Felony","0","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"USE OF VEHICLE IN DISCHARGE OF WEAPON","Title 21","21-652.B",2007,"21-652.B",2007,"Felony","2","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ASSAULT AND/OR BATTERY W/ DEADLY WEAPON","Title 21","21-652.C",2007,"21-652.C",2007,"Felony","0","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ASSAULT WITH INTENT TO KILL","Title 21","21-653",1999,"21-653",1999,"Felony","0","5","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Dueling (No Death or Injury)","Title 21","21-662",1999,"21-662",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ASSAULT W/ INTENT TO COMMIT A FELONY","Title 21","21-681.A",2007,"21-681.A",2007,"Felony","0","5","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"ASSAULT W/ INTENT TO COMMIT A FELONY (SEXUAL ASSAULT)","Title 21","21-681.B",2007,"21-681.B",2007,"Enhancement",NA,NA,NA,NA,"No","Nonspecific","Not Applicable","Not Applicable"
"Partial-Birth Abortion (Physician)","Title 21","21-684.A",1998,"21-684.A",1998,"Unspecified","0","2","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"MURDER FIRST DEGREE (MENTAL RETARDATION)","Title 21","21-701.10b",2006,"21-701.10b.E",2006,"Felony","Life","Life without Parole","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"SOLICITING FOR MURDER FIRST DEGREE","Title 21","21-701.16",1999,"21-701.16",1999,"Felony","5","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"MURDER FIRST DEGREE","Title 21","21-701.7",2012,"21-701.9.A.1",2017,"Felony","Life","Death","Unspecified","Unspecified","No","Applicable","Not Applicable","Check 21-64"
"MURDER FIRST DEGREE (DEATH OF LAW ENFORCEMENT OFFICER)","Title 21","21-701.7",2012,"21-701.9.A.2",2017,"Felony","Life without Parole","Death","Unspecified","Unspecified","No","Applicable","Not Applicable","Check 21-64"
"MURDER SECOND DEGREE","Title 21","21-701.8.A",1976,"21-701.9.B",2017,"Felony","10","Life","Unspecified","Unspecified","No","Applicable","Not Applicable","Check 21-64"
"MANSLAUGHTER FIRST DEGREE","Title 21","21-711",1910,"21-715",2006,"Felony","4","Unspecified",NA,NA,"No","Applicable","Not Applicable","Not Applicable"
"MANSLAUGHTER FIRST DEGREE - INTOXICATION OF PHYSICIAN","Title 21","21-712",1910,"21-715",2006,"Felony","4","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Procuring Destruction of Quick Child","Title 21","21-714",1910,"21-715",2006,"Felony","4","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"MANSLAUGHTER SECOND DEGREE","Title 21","21-716",1910,"21-722",1999,"Felony","2","4","0","1000","No","Applicable","Not Applicable","Not Applicable"
"Owner of Animal that Kills","Title 21","21-717",1910,"21-722",1999,"Felony","2","4","0","1000","No","Applicable","Not Applicable","Not Applicable"
"KIDNAPPING","Title 21","21-741.a",2012,"21-741.a",2012,"Felony","0","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"KIDNAPPING INVOLVING SEX CRIME","Title 21","21-741.b",2012,"21-741.b",2012,"Felony","0","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"KIDNAPPING FOR EXTORTION (PRINCIPAL)","Title 21","21-745.A",1999,"21-745.A",1999,"Felony","10","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"KIDNAPPING FOR EXTORTION (ENABLES)","Title 21","21-745.B",1999,"21-745.B",1999,"Felony","5","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Holder of Hostage - Telephone Communications","Title 21","21-747",1998,"21-747.D",1998,"Misdemeanor","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"HUMAN TRAFFICKING","Title 21","21-748",2017,"21-748.C.1",2017,"Felony","5","Life","0","100000","Yes","Nonspecific","Not Applicable","Not Applicable"
"HUMAN TRAFFICKING (VICTIM UNDER 18)","Title 21","21-748",2017,"21-748.C.2",2017,"Felony","15","Life","0","250000","Yes","Nonspecific","Not Applicable","Not Applicable"
"MAIMING","Title 21","21-751",1910,"21-759",2011,"Felony","0","Life","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"MAIMING ONE'S SELF","Title 21","21-752",1910,"21-759",2011,"Felony","0","Life","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"FEMALE GENITAL MUTILATION","Title 21","21-760",2009,"21-760",2009,"Felony","3","Life","0","20000","No","Nonspecific","Not Applicable","Not Applicable"
"LIBEL","Title 21","21-771",1910,"21-773",1910,"Unspecified","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"PRIVILEGED PUBLICATION","Title 21","21-772",1910,"21-773",1910,"Unspecified","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Threats to Publishing a Libel","Title 21","21-778",1910,"21-773",1910,"Unspecified","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"False Rumors of a Slanderous Nature","Title 21","21-781",1929,"21-781",1929,"Misdemeanor","30 days","120 days","100","500","No","Nonspecific","Not Applicable","Not Applicable"
"ROBBERY, FIRST DEGREE","Title 21","21-797",2001,"21-798",1999,"Felony","10","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ROBBERY SECOND DEGREE","Title 21","21-797",2001,"21-799",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"CONJOINT ROBBERY (BY 2 OR MORE PERSONS)","Title 21","21-800",1999,"21-800",1999,"Felony","5","50","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ROBBERY OR ATTEMPTED ROBBERY WITH DANGEROUS WEAPON","Title 21","21-801.A",1999,"21-801.A",1999,"Felony","5","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ROBBERY OR ATTEMPTED ROBBERY WITH DANGEROUS WEAPON (3RD CONVICTION, SEPARATE AND DISTINCT FELONIES)","Title 21","21-801.B",1999,"21-801.B",1999,"Felony","10","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"AIDING SUICIDE","Title 21","21-813",1910,"21-817",1999,"Felony","7","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Aiding Suicide by Furnishing Weapon or Drug","Title 21","21-814",1910,"21-817",1999,"Felony","7","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"AIDING AN ATTEMPT AT SUICIDE","Title 21","21-815",1910,"21-818",1999,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"MEDICAL ACT - INTOXICATED PHYSICIAN","Title 21","21-831",1910,"21-831",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Mingling Poison, Drugs, or Sharp Objects with Food, Drink, etc.","Title 21","21-832",1999,"21-832.B",1999,"Felony","5","Unspecified","1000","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"Unauthorized Confinement of Insane Persons","Title 21","21-833",1998,"21-833",1998,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawfully Recommitting Person Discharged Upon Writ of Deliverance","Title 21","21-834",1910,"21-834",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Concealing a Person to Elude Writ of Habeas Corpus","Title 21","21-835",1910,"21-835",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Concealing a Person to Elude Writ of Habeas Corpus (Assist)","Title 21","21-836",1910,"21-836",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Intimidating Laborers (Person Employed by Another)","Title 21","21-837.A",1968,"21-837.A",1968,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Intimidating Laborers (Farmer or Rancher)","Title 21","21-837.B",1968,"21-837.B",1968,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Threatening or Intimidating Employers","Title 21","21-838",1910,"21-838",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Right of Privacy - Use of Name or Picture for Advertising Without Consent","Title 21","21-839.1",1965,"21-839.1",1965,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Use of Name or Picture of Service Member for Advertising Without Consent","Title 21","21-839.1A",2006,"21-839.1A",2006,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Body Tattooing, Body Piercing, and Scleral Tattooing","Title 21","21-842.1",2009,"21-842.2",2006,"Misdemeanor","0","90 days","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Abuse, Neglect, or Financial Exploitation by Caretaker","Title 21","21-843.1.B.1",2008,"21-843.1.B.1",2008,"Felony","0","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Abuse, Neglect, or Financial Exploitation by Caretaker (Sexual Abuse)","Title 21","21-843.1.B.2",2008,"21-843.1.B.2",2008,"Felony","0","15","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"VERBAL ABUSE BY CARETAKER","Title 21","21-843.2",2001,"21-843.2.A",2001,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"FINANCIAL EXPLOITATION OF ELDERLY ADULT (VALUE >=$100,000)","Title 21","21-843.4",2006,"21-843.4.B.1",2006,"Felony","0","15","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"FINANCIAL EXPLOITATION OF ELDERLY ADULT (VALUE <$100,000)","Title 21","21-843.4",2006,"21-843.4.B.2",2006,"Felony","0","10","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"CHILD ABUSE (ENGAGE)","Title 21","21-843.5.A",2014,"21-843.5.A",2014,"Felony","0","Life","500","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"CHILD ABUSE (ENABLE)","Title 21","21-843.5.B",2014,"21-843.5.B",2014,"Unspecified","0","Life","500","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"CHILD SEXUAL ABUSE (ENGAGE, SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-843.5.E",2014,"21-51.1a",2002,"Unspecified","Life without Parole","Life without Parole","Unspecified","Unspecified","Yes","Nonspecific","Not Applicable","Not Applicable"
"CHILD SEXUAL ABUSE (ENGAGE)","Title 21","21-843.5.E",2014,"21-843.5.E",2014,"Unspecified","0","Life","500","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"CHILD SEXUAL ABUSE, BELOW AGE 12 (ENGAGE)","Title 21","21-843.5.F",2014,"21-843.5.F",2014,"Unspecified","25","Life","500","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"CHILD SEXUAL ABUSE (ENABLE)","Title 21","21-843.5.G",2014,"21-843.5.G",2014,"Unspecified","0","Life","500","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"CHILD SEXUAL EXPLOITATION (ENGAGE)","Title 21","21-843.5.H",2014,"21-843.5.H",2014,"Unspecified","0","Life","500","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"CHILD SEXUAL EXPLOITATION, BELOW AGE 12 (ENGAGE)","Title 21","21-843.5.I",2014,"21-843.5.I",2014,"Unspecified","25","Life","500","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"CHILD SEXUAL EXPLOITATION (ENABLE)","Title 21","21-843.5.J",2014,"21-843.5.J",2014,"Unspecified","0","Life","500","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"FORCIBLE ANAL OR ORAL SODOMY/RAPE/RAPE BY INSTRUMENTATION/LEWD MOLESTATION OF A CHILD BELOW AGE 14 (ENGAGE, SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-843.5.K",2014,"21-843.5.K",2014,"Unspecified","Life without Parole","Death","Unspecified","Unspecified","Yes","Nonspecific","Not Applicable","Not Applicable"
"Wiring building or vehicle with explosives","Title 21","21-849",1999,"21-849",1999,"Felony","5","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Malicious Harassment Based on Race, Color, Religion, Ancestry, National Origin, Disability (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-850",2001,"21-850.D",2001,"Felony","0","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Malicious Harassment Based on Race, Color, Religion, Ancestry, National Origin, Disability (FIRST OFFENSE)","Title 21","21-850",2001,"21-850.E",2001,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"DESERTION OF CHILDREN BELOW AGE 10","Title 21","21-851",1999,"21-851",1999,"Felony","1","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"OMITTING TO PROVIDE FOR A CHILD (FIRST OFFENSE)","Title 21","21-852",2009,"21-852.A.1",2009,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"OMITTING TO PROVIDE FOR A CHILD (DELINQUENT CHILD SUPPORT >1 YEAR OR >$5000)","Title 21","21-852",2009,"21-852.A.2",2009,"Felony","0","4","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"OMITTING TO PROVIDE FOR A CHILD (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-852",2009,"21-852.A.3",2009,"Felony","0","4","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"OMITTING TO PROVIDE FOR A CHILD (LEAVES STATE)","Title 21","21-852",2009,"21-852.B",2009,"Felony","0","4","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"OMITTING TO PROVIDE FOR AN ALCOHOL- OR DRUG-DEPENDENT CHILD","Title 21","21-852",2009,"21-852.H",2009,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Child Endangerment by Permitting Child Abuse","Title 21","21-852.1",2011,"21-852.1",2011,"Felony","0","4","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"DESERTION OF WIFE OR CHILD UNDER 15","Title 21","21-853",1999,"21-853",1999,"Felony","1","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"CONTRIBUTING TO DELINQUENCY/RUNAWAY OF MINORS (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-856",2011,"21-856.B",2011,"Felony","0","3","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"CONTRIBUTING TO DELINQUENCY/RUNAWAY OF MINORS (COMMISSION OF FELONY)","Title 21","21-856",2011,"21-856.C",2011,"Felony","See Statute","See Statute","See Statute","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"CAUSE/AID/ABET MINOR IN DRUG CRIME","Title 21","21-856.1",1999,"21-856.1.A.5",1999,"Felony","0","20","0","200000","No","Nonspecific","Not Applicable","Not Applicable"
"Harbouring Endangered Runaway Child (First Offense)","Title 21","21-856.2",1999,"21-856.2",1999,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Harbouring Endangered Runaway Child (Second or Subsequent Offense)","Title 21","21-856.2",1999,"21-856.2",1999,"Felony","0","3","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Gang-Related Offense as Condition of Membership in Criminal Street Gang","Title 21","21-856.3",2011,"21-856.3",2011,"Felony","5","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"CONTRIBUTING TO DELINQUENCY/RUNAWAY OF MINORS (FIRST OFFENSE)","Title 21","21-856.A.2",2011,"21-856.A.1",2011,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"CONTRIBUTING TO DELINQUENCY OF MINORS (GANG INVOLVEMENT, FIRST OFFENSE)","Title 21","21-856.F",2011,"21-856.D",2011,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"CONTRIBUTING TO DELINQUENCY OF MINORS (GANG INVOLVEMENT, SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-856.F",2011,"21-856.E",2011,"Felony","5","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Parent/Guardian of Minor in Possession of Firearm on School Property","Title 21","21-858",1992,"21-858",1992,"Administrative Penalty","0","Community Service","0","200","No","Nonspecific","Not Applicable","Not Applicable"
"Parent - Causing Delinquency (First Offense)","Title 21","21-858.1",1991,"21-858.1.A.2",1991,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Parent - Causing Delinquency (Second or Subsequent Offense)","Title 21","21-858.1",1991,"21-858.1.B",1991,"Unspecified","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Parent/Guardian Neglect of Child on Probation (Contributing to Delinquency)","Title 21","21-858.2",1991,"21-856",2011,"Misdemeanor","See Statute","See Statute","See Statute","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Parental/Guardian Neglect of Child on Probation (Causing Delinquency)","Title 21","21-858.2",1991,"21-858.1",1991,"Misdemeanor","See Statute","See Statute","See Statute","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Other Persons Aiding in Delinquency of Minor","Title 21","21-858.3",1995,"21-858.2",1991,"Misdemeanor","See Statute","See Statute","See Statute","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Procuring an Abortion","Title 21","21-861",1999,"21-861",1999,"Felony","2","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Submitting to or Soliciting Abortion","Title 21","21-862",1910,"21-862",1910,"Unspecified","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Concealing Stillbirth or Death of a Bastard or Child Under Age 2","Title 21","21-863",1910,"21-863",1910,"Unspecified","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Trafficking in Children (Knowingly Failing to File Affidavit Before Adoption Decree)","Title 21","21-866",2011,"21-866.D",2011,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Trafficking in Children (Acts)","Title 21","21-866.A.1",2011,"21-866.A.2.a",2011,"Felony","0","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Trafficking in Children (Prospective Adoptive Parents)","Title 21","21-866.A.1.a",2011,"21-866.A.2.b",2011,"Misdemeanor","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Trafficking in Children (Publication of Advertisement for Circulation)","Title 21","21-866.A.1.g-h",2011,"21-866.B.2",2011,"Misdemeanor","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"TRAFFICKING IN CHILDREN (FIRST OFFENSE)","Title 21","21-867",2007,"21-867.A",2007,"Felony","1","3","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"TRAFFICKING IN CHILDREN (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-867",2007,"21-867.B",2007,"Felony","3","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Adultery","Title 21","21-871",1910,"21-872",1992,"Felony","0","5","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Bigamy","Title 21","21-881",1910,"21-883",1999,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Knowingly Marrying Bigamist","Title 21","21-884",1999,"21-884",1999,"Felony","0","5","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"INCEST","Title 21","21-885",2007,"21-885",2007,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"FORCIBLE SODOMY (FIRST OFFENSE)","Title 21","21-886",2007,"21-888.A.1",2018,"Felony","0","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"FORCIBLE SODOMY (SECOND OFFENSE WHERE VICTIM IS UNDER AGE 16)","Title 21","21-886",2007,"21-888.A.2",2018,"Felony","0","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"FORCIBLE SODOMY (THIRD OR SUBSEQUENT OFFENSE WHERE VICTIM IS UNDER AGE 16)","Title 21","21-886",2007,"21-888.A.3",2018,"Felony","Life","Life without Parole","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"FORCIBLE SODOMY (AFTER TWO CONVICTIONS OF FIRST DEGREE RAPE)","Title 21","21-886",2007,"21-888.A.4",2018,"Felony","Life","Life without Parole","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"FORCIBLE SODOMY (AFTER ONE CONVICTION OF LEWD OR INDECENT PROPOSALS OR ACTS TO CHILD UNDER 16)","Title 21","21-886",2007,"21-888.A.5",2018,"Felony","Life","Life without Parole","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"FORCIBLE SODOMY (AFTER ONE CONVICTION OF SEXUAL ABUSE OF CHILD)","Title 21","21-886",2007,"21-888.A.6",2018,"Felony","Life","Life without Parole","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"FORCIBLE SODOMY (AFTER ANY ATTEMPT TO COMMIT OR COMBO OF FIRST DEGREE RAPE/LEWD OR INDECENT PROPOSALS OR ACTS TO CHILD UNDER 16/SEXUAL ABUSE OF CHILD CONVICTIONS)","Title 21","21-886",2007,"21-888.A.7",2018,"Felony","Life","Life without Parole","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"CRIME AGAINST NATURE (BEASTIALITY OR SODOMY) - SLIGHT SEXUAL PENETRATION","Title 21","21-887",1910,"21-886",2007,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Maliciously, Forcibly or Fraudulently Taking or Enticing Away Children","Title 21","21-891",2008,"21-891",2008,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Blasphemy","Title 21","21-901",1910,"21-902",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Profane Swearing","Title 21","21-904",1910,"21-905",1910,"Unspecified","Unspecified","Unspecified","1","1","No","Nonspecific","Not Applicable","Not Applicable"
"Obscene Language","Title 21","21-906",1910,"21-906",1910,"Unspecified","0","30 days","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"Sabbath-Breaking","Title 21","21-908",1996,"21-911",1910,"Unspecified","Unspecified","Unspecified","0","25","No","Nonspecific","Not Applicable","Not Applicable"
"Procuring Service of Process Maliciously (On an Observed Sabbath Day)","Title 21","21-912",1910,"21-912",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Compelling Religious Belief by Threat or Violence","Title 21","21-913",1910,"21-913",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Preventing Religious Acts by Threat or Violence","Title 21","21-914",1910,"21-914",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Disturbing Religious Worship","Title 21","21-916",1910,"21-915",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Sale, Barter or Exchange of Motor Vehicles on Sunday","Title 21","21-918",2012,"21-919",1959,"Misdemeanor","0","6 months","75","500","No","Nonspecific","Not Applicable","Not Applicable"
"Fortune Telling","Title 21","21-931",1915,"21-932",1915,"Unspecified","30 days","6 months","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"Gambling - Conducting","Title 21","21-941",1999,"21-941",1999,"Felony","1","10","500","2000","No","Applicable","Not Applicable","Not Applicable"
"Gambling - Playing","Title 21","21-942",1916,"21-942",1916,"Misdemeanor","1 day","30 days","25","100","No","Applicable","Not Applicable","Not Applicable"
"Slot Machines","Title 21","21-944",1916,"21-944",1916,"Misdemeanor","0","30 days","25","100","No","Applicable","Not Applicable","Not Applicable"
"Buildings - Use for Gambling","Title 21","21-945",1999,"21-945",1999,"Misdemeanor","Unspecified","Unspecified","100","1000","No","Applicable","Not Applicable","Not Applicable"
"Illegal Use of Building - Nuisance (Act or Assist)","Title 21","21-946",1916,"21-946",1916,"Felony","1","10","500","10000","No","Applicable","Not Applicable","Not Applicable"
"Permitting Dice - Cigar Stands","Title 21","21-947",1916,"21-947",1916,"Misdemeanor","Unspecified","Unspecified","25","100","No","Applicable","Not Applicable","Not Applicable"
"Officers - Gambling - Collusion","Title 21","21-948",1916,"21-948",1916,"Felony","1","10","500","10000","No","Applicable","Not Applicable","Not Applicable"
"Permit of Privilege - Collusion","Title 21","21-950",1998,"21-950",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"Three Card Monte, Swindle or Confidence Games","Title 21","21-954",1999,"21-954",1999,"Felony","1","5","1000","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Permitting Gambling on Premises","Title 21","21-956",1910,"21-956",1910,"Misdemeanor","30 days","6 months","100","200","No","Nonspecific","Not Applicable","Not Applicable"
"Granting of Lease of Premises for Gambling","Title 21","21-957",1910,"21-957",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Failure to Appear","Title 21","21-959",1910,"21-959",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Sale or Possession of Slot Machines or Punch Boards","Title 21","21-969",1939,"21-969",1939,"Misdemeanor","0","60 days","50","150","No","Nonspecific","Not Applicable","Not Applicable"
"Operating Slot Machines","Title 21","21-970",1949,"21-970",1949,"Misdemeanor","0","60 days","50","150","No","Nonspecific","Not Applicable","Not Applicable"
"Operating Punch Boards","Title 21","21-971",1939,"21-971",1939,"Misdemeanor","0","30 days","50","150","No","Nonspecific","Not Applicable","Not Applicable"
"Failure to Perform Duties","Title 21","21-976",1939,"21-976",1939,"Misdemeanor","30 days","1","250","1000","No","Nonspecific","Not Applicable","Not Applicable"
"COMMERCIAL GAMBLING","Title 21","21-982",1999,"21-982",1999,"Felony","0","10","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Permitting Premises to be Used for Commercial Gambling","Title 21","21-983",1975,"21-983",1975,"Misdemeanor","0","1","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Dealing in Gambling Devices","Title 21","21-984",1999,"21-984",1999,"Felony","0","5","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
